"age"  "type_employer"  "education"  "marital"  "occupation"  "relationship"  "race"  "sex"  "capital_gain"  "capital_loss"  "hr_per_week"  "income"
39  " State-gov"  " Bachelors"  " Never-married"  " Adm-clerical"  " Not-in-family"  " White"  " Male"  "Low"  "None"  40  "low"
50  " Self-emp-not-inc"  " Bachelors"  " Married-civ-spouse"  " Exec-managerial"  " Husband"  " White"  " Male"  "None"  "None"  13  "low"
38  " Private"  " HS-grad"  " Divorced"  " Handlers-cleaners"  " Not-in-family"  " White"  " Male"  "None"  "None"  40  "low"
53  " Private"  " 11th"  " Married-civ-spouse"  " Handlers-cleaners"  " Husband"  " Black"  " Male"  "None"  "None"  40  "low"
28  " Private"  " Bachelors"  " Married-civ-spouse"  " Prof-specialty"  " Wife"  " Black"  " Female"  "None"  "None"  40  "low"
37  " Private"  " Masters"  " Married-civ-spouse"  " Exec-managerial"  " Wife"  " White"  " Female"  "None"  "None"  40  "low"
49  " Private"  " 9th"  " Married-spouse-absent"  " Other-service"  " Not-in-family"  " Black"  " Female"  "None"  "None"  16  "low"
52  " Self-emp-not-inc"  " HS-grad"  " Married-civ-spouse"  " Exec-managerial"  " Husband"  " White"  " Male"  "None"  "None"  45  "high"
31  " Private"  " Masters"  " Never-married"  " Prof-specialty"  " Not-in-family"  " White"  " Female"  "High"  "None"  50  "high"
42  " Private"  " Bachelors"  " Married-civ-spouse"  " Exec-managerial"  " Husband"  " White"  " Male"  "Low"  "None"  40  "high"
37  " Private"  " Some-college"  " Married-civ-spouse"  " Exec-managerial"  " Husband"  " Black"  " Male"  "None"  "None"  80  "high"
30  " State-gov"  " Bachelors"  " Married-civ-spouse"  " Prof-specialty"  " Husband"  " Asian-Pac-Islander"  " Male"  "None"  "None"  40  "high"
23  " Private"  " Bachelors"  " Never-married"  " Adm-clerical"  " Own-child"  " White"  " Female"  "None"  "None"  30  "low"
32  " Private"  " Assoc-acdm"  " Never-married"  " Sales"  " Not-in-family"  " Black"  " Male"  "None"  "None"  50  "low"
34  " Private"  " 7th-8th"  " Married-civ-spouse"  " Transport-moving"  " Husband"  " Amer-Indian-Eskimo"  " Male"  "None"  "None"  45  "low"
25  " Self-emp-not-inc"  " HS-grad"  " Never-married"  " Farming-fishing"  " Own-child"  " White"  " Male"  "None"  "None"  35  "low"
32  " Private"  " HS-grad"  " Never-married"  " Machine-op-inspct"  " Unmarried"  " White"  " Male"  "None"  "None"  40  "low"
38  " Private"  " 11th"  " Married-civ-spouse"  " Sales"  " Husband"  " White"  " Male"  "None"  "None"  50  "low"
43  " Self-emp-not-inc"  " Masters"  " Divorced"  " Exec-managerial"  " Unmarried"  " White"  " Female"  "None"  "None"  45  "high"
40  " Private"  " Doctorate"  " Married-civ-spouse"  " Prof-specialty"  " Husband"  " White"  " Male"  "None"  "None"  60  "high"
54  " Private"  " HS-grad"  " Separated"  " Other-service"  " Unmarried"  " Black"  " Female"  "None"  "None"  20  "low"
35  " Federal-gov"  " 9th"  " Married-civ-spouse"  " Farming-fishing"  " Husband"  " Black"  " Male"  "None"  "None"  40  "low"
43  " Private"  " 11th"  " Married-civ-spouse"  " Transport-moving"  " Husband"  " White"  " Male"  "None"  "High"  40  "low"
59  " Private"  " HS-grad"  " Divorced"  " Tech-support"  " Unmarried"  " White"  " Female"  "None"  "None"  40  "low"
56  " Local-gov"  " Bachelors"  " Married-civ-spouse"  " Tech-support"  " Husband"  " White"  " Male"  "None"  "None"  40  "high"
19  " Private"  " HS-grad"  " Never-married"  " Craft-repair"  " Own-child"  " White"  " Male"  "None"  "None"  40  "low"
39  " Private"  " HS-grad"  " Divorced"  " Exec-managerial"  " Not-in-family"  " White"  " Male"  "None"  "None"  80  "low"
49  " Private"  " HS-grad"  " Married-civ-spouse"  " Craft-repair"  " Husband"  " White"  " Male"  "None"  "None"  40  "low"
23  " Local-gov"  " Assoc-acdm"  " Never-married"  " Protective-serv"  " Not-in-family"  " White"  " Male"  "None"  "None"  52  "low"
20  " Private"  " Some-college"  " Never-married"  " Sales"  " Own-child"  " Black"  " Male"  "None"  "None"  44  "low"
45  " Private"  " Bachelors"  " Divorced"  " Exec-managerial"  " Own-child"  " White"  " Male"  "None"  "Low"  40  "low"
30  " Federal-gov"  " Some-college"  " Married-civ-spouse"  " Adm-clerical"  " Own-child"  " White"  " Male"  "None"  "None"  40  "low"
22  " State-gov"  " Some-college"  " Married-civ-spouse"  " Other-service"  " Husband"  " Black"  " Male"  "None"  "None"  15  "low"
48  " Private"  " 11th"  " Never-married"  " Machine-op-inspct"  " Unmarried"  " White"  " Male"  "None"  "None"  40  "low"
21  " Private"  " Some-college"  " Never-married"  " Machine-op-inspct"  " Own-child"  " White"  " Male"  "None"  "None"  40  "low"
19  " Private"  " HS-grad"  " Married-AF-spouse"  " Adm-clerical"  " Wife"  " White"  " Female"  "None"  "None"  25  "low"
48  " Self-emp-not-inc"  " Assoc-acdm"  " Married-civ-spouse"  " Prof-specialty"  " Husband"  " White"  " Male"  "None"  "None"  40  "low"
31  " Private"  " 9th"  " Married-civ-spouse"  " Machine-op-inspct"  " Husband"  " White"  " Male"  "None"  "None"  43  "low"
53  " Self-emp-not-inc"  " Bachelors"  " Married-civ-spouse"  " Prof-specialty"  " Husband"  " White"  " Male"  "None"  "None"  40  "low"
24  " Private"  " Bachelors"  " Married-civ-spouse"  " Tech-support"  " Husband"  " White"  " Male"  "None"  "None"  50  "low"
49  " Private"  " HS-grad"  " Separated"  " Adm-clerical"  " Unmarried"  " White"  " Female"  "None"  "None"  40  "low"
25  " Private"  " HS-grad"  " Never-married"  " Handlers-cleaners"  " Not-in-family"  " White"  " Male"  "None"  "None"  35  "low"
57  " Federal-gov"  " Bachelors"  " Married-civ-spouse"  " Prof-specialty"  " Husband"  " Black"  " Male"  "None"  "None"  40  "high"
53  " Private"  " HS-grad"  " Married-civ-spouse"  " Machine-op-inspct"  " Husband"  " White"  " Male"  "None"  "None"  38  "low"
44  " Private"  " Masters"  " Divorced"  " Exec-managerial"  " Unmarried"  " White"  " Female"  "None"  "None"  40  "low"
41  " State-gov"  " Assoc-voc"  " Married-civ-spouse"  " Craft-repair"  " Husband"  " White"  " Male"  "None"  "None"  40  "low"
29  " Private"  " Assoc-voc"  " Never-married"  " Prof-specialty"  " Not-in-family"  " White"  " Male"  "None"  "None"  43  "low"
25  " Private"  " Some-college"  " Married-civ-spouse"  " Exec-managerial"  " Wife"  " Other"  " Female"  "None"  "None"  40  "low"
47  " Private"  " Prof-school"  " Married-civ-spouse"  " Prof-specialty"  " Wife"  " White"  " Female"  "None"  "High"  60  "high"
50  " Federal-gov"  " Bachelors"  " Divorced"  " Exec-managerial"  " Not-in-family"  " White"  " Male"  "None"  "None"  55  "high"
47  " Self-emp-inc"  " HS-grad"  " Divorced"  " Exec-managerial"  " Not-in-family"  " White"  " Male"  "None"  "None"  60  "low"
43  " Private"  " Some-college"  " Married-civ-spouse"  " Tech-support"  " Husband"  " White"  " Male"  "None"  "None"  40  "high"
46  " Private"  " 5th-6th"  " Married-civ-spouse"  " Machine-op-inspct"  " Husband"  " White"  " Male"  "None"  "None"  40  "low"
35  " Private"  " Assoc-voc"  " Married-civ-spouse"  " Other-service"  " Husband"  " White"  " Male"  "None"  "None"  40  "low"
41  " Private"  " HS-grad"  " Married-civ-spouse"  " Adm-clerical"  " Husband"  " White"  " Male"  "None"  "None"  48  "low"
30  " Private"  " HS-grad"  " Married-civ-spouse"  " Machine-op-inspct"  " Husband"  " White"  " Male"  "Low"  "None"  40  "low"
30  " Private"  " Bachelors"  " Married-civ-spouse"  " Sales"  " Husband"  " White"  " Male"  "Low"  "None"  40  "low"
48  " Private"  " HS-grad"  " Married-civ-spouse"  " Transport-moving"  " Husband"  " White"  " Male"  "None"  "None"  40  "low"
42  " Private"  " Doctorate"  " Married-civ-spouse"  " Prof-specialty"  " Husband"  " White"  " Male"  "None"  "None"  45  "high"
29  " Private"  " Some-college"  " Divorced"  " Tech-support"  " Not-in-family"  " White"  " Male"  "None"  "None"  58  "low"
36  " Private"  " HS-grad"  " Married-civ-spouse"  " Craft-repair"  " Husband"  " White"  " Male"  "None"  "None"  40  "low"
28  " Private"  " Some-college"  " Divorced"  " Adm-clerical"  " Not-in-family"  " White"  " Female"  "None"  "None"  40  "low"
53  " Private"  " HS-grad"  " Married-civ-spouse"  " Adm-clerical"  " Wife"  " White"  " Female"  "None"  "None"  40  "high"
49  " Self-emp-inc"  " Some-college"  " Married-civ-spouse"  " Exec-managerial"  " Husband"  " White"  " Male"  "None"  "None"  50  "high"
19  " Private"  " Some-college"  " Never-married"  " Prof-specialty"  " Own-child"  " White"  " Male"  "None"  "None"  32  "low"
31  " Private"  " Bachelors"  " Separated"  " Sales"  " Own-child"  " Black"  " Female"  "None"  "None"  40  "low"
29  " Self-emp-not-inc"  " Bachelors"  " Married-civ-spouse"  " Sales"  " Husband"  " White"  " Male"  "None"  "None"  70  "high"
23  " Private"  " Some-college"  " Never-married"  " Machine-op-inspct"  " Not-in-family"  " White"  " Male"  "None"  "None"  40  "low"
79  " Private"  " Some-college"  " Married-civ-spouse"  " Prof-specialty"  " Other-relative"  " White"  " Male"  "None"  "None"  20  "low"
27  " Private"  " HS-grad"  " Never-married"  " Other-service"  " Own-child"  " White"  " Male"  "None"  "None"  40  "low"
40  " Private"  " Assoc-acdm"  " Married-civ-spouse"  " Adm-clerical"  " Husband"  " White"  " Male"  "None"  "None"  40  "low"
18  " Private"  " 11th"  " Never-married"  " Other-service"  " Own-child"  " White"  " Female"  "None"  "None"  22  "low"
31  " Local-gov"  " 7th-8th"  " Married-civ-spouse"  " Farming-fishing"  " Husband"  " White"  " Male"  "None"  "None"  40  "low"
18  " Private"  " HS-grad"  " Never-married"  " Sales"  " Not-in-family"  " White"  " Male"  "None"  "None"  30  "low"
52  " Private"  " Bachelors"  " Married-civ-spouse"  " Other-service"  " Husband"  " White"  " Male"  "None"  "None"  40  "low"
46  " Private"  " HS-grad"  " Married-civ-spouse"  " Other-service"  " Wife"  " White"  " Female"  "None"  "None"  40  "low"
59  " Private"  " HS-grad"  " Married-civ-spouse"  " Sales"  " Husband"  " White"  " Male"  "None"  "None"  48  "low"
44  " Private"  " HS-grad"  " Divorced"  " Craft-repair"  " Not-in-family"  " White"  " Female"  "High"  "None"  40  "high"
53  " Private"  " HS-grad"  " Divorced"  " Sales"  " Own-child"  " White"  " Female"  "None"  "None"  35  "low"
49  " Local-gov"  " HS-grad"  " Married-civ-spouse"  " Protective-serv"  " Husband"  " White"  " Male"  "None"  "None"  40  "high"
